Age,Gender,ItemPurchased,Category,PurchaseAmount(USD),Location,Color,Season
55,Male,Blouse,Clothing,53,Kentucky,Gray,Winter
19,Male,Sweater,Clothing,64,Maine,Maroon,Winter
50,Male,Jeans,Clothing,73,Massachusetts,Maroon,Spring
21,Male,Sandals,Footwear,90,Rhode Island,Maroon,Spring
45,Male,Blouse,Clothing,49,Oregon,Turquoise,Spring
46,Male,Sneakers,Footwear,20,Wyoming,White,Summer
63,Male,Shirt,Clothing,85,Montana,Gray,Fall
27,Male,Shorts,Clothing,34,Louisiana,Charcoal,Winter
26,Male,Coat,Outerwear,97,West Virginia,Silver,Summer
57,Male,Handbag,Accessories,31,Missouri,Pink,Spring
53,Male,Shoes,Footwear,34,Arkansas,Purple,Fall
30,Male,Shorts,Clothing,68,Hawaii,Olive,Winter
61,Male,Coat,Outerwear,72,Delaware,Gold,Winter
65,Male,Dress,Clothing,51,New Hampshire,Violet,Spring
64,Male,Coat,Outerwear,53,New York,Teal,Winter
64,Male,Skirt,Clothing,81,Rhode Island,Teal,Winter
25,Male,Sunglasses,Accessories,36,Alabama,Gray,Spring
53,Male,Dress,Clothing,38,Mississippi,Lavender,Winter
52,Male,Sweater,Clothing,48,Montana,Black,Summer
66,Male,Pants,Clothing,90,Rhode Island,Green,Summer
21,Male,Pants,Clothing,51,Louisiana,Black,Winter
31,Male,Pants,Clothing,62,North Carolina,Charcoal,Winter
56,Male,Pants,Clothing,37,California,Peach,Summer
31,Male,Pants,Clothing,88,Oklahoma,White,Winter
18,Male,Jacket,Outerwear,22,Florida,Green,Fall
18,Male,Hoodie,Clothing,25,Texas,Silver,Summer
38,Male,Jewelry,Accessories,20,Nevada,Red,Spring
56,Male,Shorts,Clothing,56,Kentucky,Cyan,Summer
54,Male,Handbag,Accessories,94,North Carolina,Gray,Fall
31,Male,Dress,Clothing,48,Wyoming,Black,Fall
57,Male,Jewelry,Accessories,31,North Carolina,Black,Winter
33,Male,Dress,Clothing,79,West Virginia,Brown,Winter
36,Male,Jacket,Outerwear,67,Kansas,Silver,Summer
54,Male,Pants,Clothing,38,Colorado,Green,Summer
36,Male,T-shirt,Clothing,91,North Dakota,Violet,Spring
54,Male,Blouse,Clothing,33,Massachusetts,Cyan,Summer
35,Male,T-shirt,Clothing,69,Illinois,Maroon,Winter
35,Male,Jeans,Clothing,45,Indiana,Cyan,Summer
29,Male,Dress,Clothing,37,Florida,Red,Winter
70,Male,Pants,Clothing,60,Arizona,Turquoise,Summer
69,Male,Handbag,Accessories,76,Louisiana,Beige,Winter
67,Male,Scarf,Accessories,39,Alaska,Orange,Spring
20,Male,Coat,Outerwear,100,Tennessee,Beige,Spring
25,Male,Scarf,Accessories,69,Ohio,Lavender,Fall
39,Male,Hat,Accessories,53,Kentucky,Silver,Summer
50,Male,Socks,Clothing,21,Tennessee,Indigo,Fall
57,Male,Shirt,Clothing,43,California,White,Summer
55,Male,Jewelry,Accessories,54,Montana,Charcoal,Winter
42,Male,Shirt,Clothing,55,Nevada,Orange,Summer
68,Male,Hoodie,Clothing,30,New Jersey,Indigo,Spring
49,Male,Blouse,Clothing,28,Maryland,Red,Spring
